website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,condition,current_use,square_footage,floor,elevator,buildable,construction_year,amenities,amount_amenities
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1303568/,"US$ 1,100/Mes",62428.41,Piantini,1.0,1.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,1,No,N/D,Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Seguridad 24 Horas,5,https://img.supercasas.com/AdsPhotos/800x600/0/9048646.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-costa-azul/1303199/,"US$ 1,100/Mes",62428.41,Costa Azul,2.0,2.0,"Costa Azul, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,1,No,N/D,Ascensor-Balc�n-Lobby-Planta El�ctrica,4,https://img.supercasas.com/AdsPhotos/800x600/0/9042434.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296545/,"US$ 1,800/Mes",102155.58,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,76,0,1,No,N/D,1/2 Ba�o-Ascensor-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,9,https://img.supercasas.com/AdsPhotos/800x600/0/8973605.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1253892/,"US$ 2,600/Mes",147558.06,Evaristo Morales,2.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,116,2,2,No,2021,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Family Room-Gimnasio-Jacuzzi-Lobby-Patio-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,24,https://img.supercasas.com/AdsPhotos/800x600/0/8521597.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1271561/,"US$ 3,500/Mes",198635.85,Piantini,3.0,3.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,340,11,2,No,2020,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Estudio-Family Room-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,16,https://img.supercasas.com/AdsPhotos/800x600/0/8707735.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-evaristo-morales/1266865/,US$ 990/Mes,56185.569,Evaristo Morales,1.0,1.0,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,71,8,3,No,2022,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores,15,https://img.supercasas.com/AdsPhotos/800x600/0/8658692.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1270852/,"US$ 1,200/Mes",68103.72,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,85,9,2,No,2021,1/2 Ba�o-Agua Potable-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores,13,https://img.supercasas.com/AdsPhotos/800x600/0/8700775.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1274154/,"US$ 1,400/Mes",79454.34000000001,Evaristo Morales,2.0,2.0,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,85,3,3,No,2022,Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Picuzzi-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,15,https://img.supercasas.com/AdsPhotos/800x600/0/8735580.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1297837/,"US$ 1,300/Mes",73779.03,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,78,4,2,No,2023,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Jacuzzi-Lobby-Planta El�ctrica-Seguridad 24 Horas-Vestidores,15,https://img.supercasas.com/AdsPhotos/800x600/0/8986909.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1304073/,"US$ 1,800/Mes",102155.58,Evaristo Morales,3.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,150,3,2,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,13,https://img.supercasas.com/AdsPhotos/800x600/0/9052392.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1266864/,"US$ 1,200/Mes",68103.72,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,85,7,3,No,2022,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,17,https://img.supercasas.com/AdsPhotos/800x600/0/8658677.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-la-esperilla/1291696/,"US$ 1,600/Mes",90804.96,La Esperilla,2.0,1.5,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,133,11,0,No,2021,1/2 Ba�o-Agua Potable-Control de Acceso-Estar Familiar-Estudio-Gimnasio-Jacuzzi-Lobby-Seguridad 24 Horas,9,https://img.supercasas.com/AdsPhotos/800x600/0/8922000.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1268389/,"US$ 1,500/Mes",85129.65000000001,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,100,3,1,No,2018,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gazebo-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores,17,https://img.supercasas.com/AdsPhotos/800x600/0/8675339.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-norte/1300038/,"US$ 1,450/Mes",82291.99500000001,Mirador Norte,3.0,2.5,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,178,5,1,No,2016,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,15,https://img.supercasas.com/AdsPhotos/800x600/0/9010197.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296545/,"US$ 1,800/Mes",102155.58,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,76,0,1,No,N/D,1/2 Ba�o-Ascensor-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,9,https://img.supercasas.com/AdsPhotos/800x600/0/8973605.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1253892/,"US$ 2,600/Mes",147558.06,Evaristo Morales,2.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,116,2,2,No,2021,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Family Room-Gimnasio-Jacuzzi-Lobby-Patio-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,24,https://img.supercasas.com/AdsPhotos/800x600/0/8521597.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1271561/,"US$ 3,500/Mes",198635.85,Piantini,3.0,3.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,340,11,2,No,2020,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Estudio-Family Room-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,16,https://img.supercasas.com/AdsPhotos/800x600/0/8707735.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-evaristo-morales/1266865/,US$ 990/Mes,56185.569,Evaristo Morales,1.0,1.0,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,71,8,3,No,2022,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores,15,https://img.supercasas.com/AdsPhotos/800x600/0/8658692.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1270852/,"US$ 1,200/Mes",68103.72,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,85,9,2,No,2021,1/2 Ba�o-Agua Potable-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores,13,https://img.supercasas.com/AdsPhotos/800x600/0/8700775.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1274154/,"US$ 1,400/Mes",79454.34000000001,Evaristo Morales,2.0,2.0,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,85,3,3,No,2022,Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Picuzzi-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,15,https://img.supercasas.com/AdsPhotos/800x600/0/8735580.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1297837/,"US$ 1,300/Mes",73779.03,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,78,4,2,No,2023,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Jacuzzi-Lobby-Planta El�ctrica-Seguridad 24 Horas-Vestidores,15,https://img.supercasas.com/AdsPhotos/800x600/0/8986909.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1304073/,"US$ 1,800/Mes",102155.58,Evaristo Morales,3.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,150,3,2,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,13,https://img.supercasas.com/AdsPhotos/800x600/0/9052392.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1266864/,"US$ 1,200/Mes",68103.72,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,85,7,3,No,2022,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,17,https://img.supercasas.com/AdsPhotos/800x600/0/8658677.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-la-esperilla/1291696/,"US$ 1,600/Mes",90804.96,La Esperilla,2.0,1.5,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,133,11,0,No,2021,1/2 Ba�o-Agua Potable-Control de Acceso-Estar Familiar-Estudio-Gimnasio-Jacuzzi-Lobby-Seguridad 24 Horas,9,https://img.supercasas.com/AdsPhotos/800x600/0/8922000.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1268389/,"US$ 1,500/Mes",85129.65000000001,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,100,3,1,No,2018,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gazebo-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores,17,https://img.supercasas.com/AdsPhotos/800x600/0/8675339.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-norte/1300038/,"US$ 1,450/Mes",82291.99500000001,Mirador Norte,3.0,2.5,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,178,5,1,No,2016,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,15,https://img.supercasas.com/AdsPhotos/800x600/0/9010197.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1279617/,"US$ 3,500/Mes",198635.85,Piantini,3.0,3.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,170,6,2,No,2018,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,19,https://img.supercasas.com/AdsPhotos/800x600/0/8793597.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1293836/,"US$ 1,800/Mes",102155.58,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,130,0,0,No,N/D,1/2 Ba�o-Agua Potable-Balc�n-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Piscina-Seguridad 24 Horas-Terraza-Walk In Closet,12,https://img.supercasas.com/AdsPhotos/800x600/0/8945686.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296023/,"US$ 1,300/Mes",73779.03,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,85,0,0,No,N/D,1/2 Ba�o-Agua Potable-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Piscina-Terraza,8,https://img.supercasas.com/AdsPhotos/800x600/0/8967784.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-cacicazgos/1292532/,"US$ 2,500/Mes",141882.75,Los Cacicazgos,3.0,3.5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,188,5,1,No,2020,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,19,https://img.supercasas.com/AdsPhotos/800x600/0/8931041.jpg
