price,rooms,bathrooms,squarefootage,province,amountamenities
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
828750.0,3.0,2.0,75.0,Santiago,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
49725.0,3.0,2.0,90.0,Santiago,16.0
32045.0,1.0,1.0,70.0,La Romana,1.0
38675.0,2.0,0.0,119.0,Santiago,19.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
828750.0,3.0,2.0,75.0,Santiago,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
49725.0,3.0,2.0,90.0,Santiago,16.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
32045.0,1.0,1.0,70.0,La Romana,1.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
38675.0,2.0,0.0,119.0,Santiago,19.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
66300.0,1.0,1.0,70.0,Santo Domingo,8.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
828750.0,3.0,2.0,80.0,Santo Domingo,21.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
38675.0,2.0,0.0,119.0,Santiago,19.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
32045.0,1.0,1.0,70.0,La Romana,1.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
828750.0,3.0,2.0,75.0,Santiago,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
49725.0,3.0,2.0,90.0,Santiago,16.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
38675.0,2.0,0.0,119.0,Santiago,19.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
32045.0,1.0,1.0,70.0,La Romana,1.0
49725.0,3.0,2.0,90.0,Santiago,16.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
828750.0,3.0,2.0,75.0,Santiago,1.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
66300.0,1.0,1.0,70.0,Santo Domingo,8.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
828750.0,3.0,2.0,80.0,Santo Domingo,21.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
828750.0,3.0,2.0,80.0,Santo Domingo,21.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
32045.0,1.0,1.0,70.0,La Romana,1.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
38675.0,2.0,0.0,119.0,Santiago,19.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
66300.0,1.0,1.0,70.0,Santo Domingo,8.0
49725.0,3.0,2.0,90.0,Santiago,16.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
828750.0,3.0,2.0,75.0,Santiago,1.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
32045.0,1.0,1.0,70.0,La Romana,1.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
66300.0,1.0,1.0,70.0,Santo Domingo,8.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
38675.0,2.0,0.0,119.0,Santiago,19.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
49725.0,3.0,2.0,90.0,Santiago,16.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
828750.0,3.0,2.0,80.0,Santo Domingo,21.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
828750.0,3.0,2.0,75.0,Santiago,1.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
66300.0,1.0,1.0,70.0,Santo Domingo,8.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
32045.0,1.0,1.0,70.0,La Romana,1.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
38675.0,2.0,0.0,119.0,Santiago,19.0
49725.0,3.0,2.0,90.0,Santiago,16.0
828750.0,3.0,2.0,80.0,Santo Domingo,21.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
828750.0,3.0,2.0,75.0,Santiago,1.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
32045.0,1.0,1.0,70.0,La Romana,1.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
66300.0,1.0,1.0,70.0,Santo Domingo,8.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
49725.0,3.0,2.0,90.0,Santiago,16.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
828750.0,3.0,2.0,80.0,Santo Domingo,21.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
38675.0,2.0,0.0,119.0,Santiago,19.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
828750.0,3.0,2.0,75.0,Santiago,1.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
49725.0,3.0,2.0,90.0,Santiago,16.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
32045.0,1.0,1.0,70.0,La Romana,1.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
38675.0,2.0,0.0,119.0,Santiago,19.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
828750.0,3.0,2.0,75.0,Santiago,1.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
49725.0,3.0,2.0,90.0,Santiago,16.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
32045.0,1.0,1.0,70.0,La Romana,1.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
49725.0,3.0,2.0,90.0,Santiago,16.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
32045.0,1.0,1.0,70.0,La Romana,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
49725.0,3.0,2.0,90.0,Santiago,16.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
32045.0,1.0,1.0,70.0,La Romana,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
32045.0,1.0,1.0,70.0,La Romana,1.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
49725.0,3.0,2.0,90.0,Santiago,16.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
49725.0,3.0,2.0,90.0,Santiago,16.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
32045.0,1.0,1.0,70.0,La Romana,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
49725.0,3.0,2.0,90.0,Santiago,16.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
32045.0,1.0,1.0,70.0,La Romana,1.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
49725.0,3.0,2.0,90.0,Santiago,16.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
32045.0,1.0,1.0,70.0,La Romana,1.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
32045.0,1.0,1.0,70.0,La Romana,1.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
49725.0,3.0,2.0,90.0,Santiago,16.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
497250.0,1.0,1.0,65.0,Santiago,8.0
1381250.0,2.0,1.0,70.0,Santo Domingo,10.0
32873.75,2.0,1.0,70.0,Santo Domingo,7.0
3088475.0,2.0,1.0,78.0,La Altagracia,15.0
32045.0,1.0,1.0,70.0,La Romana,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
58012.5,2.0,1.0,70.0,Santo Domingo,7.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
1547000.0,2.0,1.0,100.0,Santiago,2.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
1215500.0000000002,2.0,2.0,97.0,San Pedro de Macoris,1.0
46962.5,2.0,1.0,80.0,Santo Domingo,1.0
3088475.0,2.0,1.0,78.0,La Altagracia,15.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
1381250.0,2.0,1.0,70.0,Santo Domingo,10.0
32045.0,1.0,1.0,70.0,La Romana,1.0
49725.0,3.0,2.0,90.0,Santiago,16.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
32873.75,2.0,1.0,70.0,Santo Domingo,7.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
2486250.0,3.0,1.0,12.0,Santo Domingo,14.0
58012.5,2.0,1.0,70.0,Santo Domingo,7.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
99450.0,3.0,2.0,115.0,La Altagracia,5.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
55250.0,3.0,1.0,178.0,Santiago,11.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
3088475.0,2.0,1.0,78.0,La Altagracia,15.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
99450.0,2.0,1.0,200.0,La Altagracia,1.0
32873.75,2.0,1.0,70.0,Santo Domingo,7.0
